Date	Daily Confirmed	Total Confirmed	Daily Recovered	Total Recovered	Daily Deceased	Total Deceased
2020-01-30	1	1	0	0	0	0
2020-01-31	0	1	0	0	0	0
2020-02-01	0	1	0	0	0	0
2020-02-02	1	2	0	0	0	0
2020-02-03	1	3	0	0	0	0
2020-02-04	0	3	0	0	0	0
2020-02-05	0	3	0	0	0	0
2020-02-06	0	3	0	0	0	0
2020-02-07	0	3	0	0	0	0
2020-02-08	0	3	0	0	0	0
2020-02-09	0	3	0	0	0	0
2020-02-10	0	3	0	0	0	0
2020-02-11	0	3	0	0	0	0
2020-02-12	0	3	0	0	0	0
2020-02-13	0	3	1	1	0	0
2020-02-14	0	3	0	1	0	0
2020-02-15	0	3	0	1	0	0
2020-02-16	0	3	1	2	0	0
2020-02-17	0	3	0	2	0	0
2020-02-18	0	3	0	2	0	0
2020-02-19	0	3	0	2	0	0
2020-02-20	0	3	1	3	0	0
2020-02-21	0	3	0	3	0	0
2020-02-22	0	3	0	3	0	0
2020-02-23	0	3	0	3	0	0
2020-02-24	0	3	0	3	0	0
2020-02-25	0	3	0	3	0	0
2020-02-26	0	3	0	3	0	0
2020-02-27	0	3	0	3	0	0
2020-02-28	0	3	0	3	0	0
2020-02-29	0	3	0	3	0	0
2020-03-01	0	3	0	3	0	0
2020-03-02	2	5	0	3	0	0
2020-03-03	1	6	0	3	0	0
2020-03-04	22	28	0	3	0	0
2020-03-05	2	30	0	3	0	0
2020-03-06	1	31	0	3	0	0
2020-03-07	3	34	0	3	0	0
2020-03-08	5	39	0	3	0	0
2020-03-09	9	48	0	3	0	0
2020-03-10	15	63	1	4	0	0
2020-03-11	7	70	0	4	0	0
2020-03-12	12	82	0	4	1	1
2020-03-13	9	91	6	10	0	1
2020-03-14	16	107	0	10	1	2
2020-03-15	5	112	3	13	0	2
2020-03-16	15	127	1	14	0	2
2020-03-17	19	146	1	15	1	3
2020-03-18	25	171	0	15	0	3
2020-03-19	27	198	5	20	1	4
2020-03-20	60	258	3	23	0	4
2020-03-21	76	334	0	23	0	4
2020-03-22	69	403	0	23	3	7
2020-03-23	94	497	2	25	2	9
2020-03-24	74	571	15	40	1	10
2020-03-25	86	657	3	43	1	11
2020-03-26	73	730	7	50	5	16
2020-03-27	153	883	25	75	3	19
2020-03-28	141	1024	10	85	5	24
2020-03-29	115	1139	17	102	3	27
2020-03-30	190	1329	35	137	16	43
2020-03-31	306	1635	13	150	6	49
2020-04-01	424	2059	19	169	7	56
2020-04-02	486	2545	22	191	16	72
2020-04-03	560	3105	39	230	14	86
2020-04-04	579	3684	56	286	13	99
2020-04-05	605	4289	43	329	22	121
2020-04-06	489	4778	53	382	16	137
