State	Confirmed	Recovered	Deaths	Active
Total	11906	1439	405	10062
Maharashtra	2801	259	178	2364
Delhi	1561	31	30	1500
Tamil Nadu	1242	118	14	1110
Rajasthan	1046	147	11	888
Madhya Pradesh	741	64	53	624
Uttar Pradesh	735	57	11	667
Gujarat	695	59	30	606
Telangana	644	110	18	516
Andhra Pradesh	502	16	11	475
Kerala	387	218	2	167
Jammu and Kashmir	300	36	4	260
Karnataka	279	80	12	187
Haryana	204	57	3	144
West Bengal	213	37	7	169
Punjab	186	27	13	146
Bihar	70	29	1	40
Odisha	60	18	1	41
Uttarakhand	37	9	0	28
Chhattisgarh	33	13	0	20
Himachal Pradesh	33	13	2	18
Assam	32	0	1	31
Jharkhand	27	0	2	25
Chandigarh	21	9	0	12
Ladakh	17	12	0	5
Andaman and Nicobar Islands	11	10	0	1
Goa	7	6	0	1
Puducherry	7	1	0	6
Manipur	2	1	0	1
Tripura	2	1	0	1
Mizoram	1	0	0	1
Arunachal Pradesh	1	1	0	0
Dadra and Nagar Haveli	1	0	0	1
Nagaland	1	0	0	1
Meghalaya	7	0	1	6
Daman and Diu	0	0	0	0
Lakshadweep	0	0	0	0
Sikkim	0	0	0	0
