Detected District	Detected State	Latitude	Longitude
Thrissur	Kerala	10.5256264	76.21325420000002
Alappuzha	Kerala	9.48870055	76.41256410969626
Kasaragod	Kerala	12.42171305	75.1904497726632
East Delhi	Delhi	28.620476699999998	77.30918071344419
Hyderabad	Telangana	17.38878595	78.46106473453145
Jaipur	Rajasthan	26.916194	75.820349
Gurugram	Haryana	28.4646148	77.0299194
Agra	Uttar Pradesh	27.1752554	78.0098161
South West Delhi	Delhi	28.58644805	76.97915298462692
Ghaziabad	Uttar Pradesh	28.711240999999998	77.4445372
West Delhi	Delhi	28.647951899999995	77.08556541088615
Leh	Ladakh	34.1642029	77.5848133
Kancheepuram	Tamil Nadu	12.87960515	79.70427615297989
Pathanamthitta	Kerala	9.283404399999998	76.96066275907359
North Delhi	Delhi	28.6141793	77.2022662
Jammu	Jammu and Kashmir	32.7185614	74.8580917
Bengaluru	Karnataka	12.979119800000001	77.5912997
Kannur	Kerala	11.876225400000001	75.37380429999997
Pune	Maharashtra	18.521428	73.8544541
Amritsar	Punjab	31.634308299999997	74.8736788
Ernakulam	Kerala	10.038394699999998	76.5074145180173
Kottayam	Kerala	9.62857045	76.6455250291479
Mumbai	Maharashtra	18.9387711	72.8353355
S.P.S. Nellore	Andhra Pradesh	15.9240905	80.1863809
Kalaburagi	Karnataka	17.166667	77.083333
Nagpur	Maharashtra	21.1498134	79.0820556
Thane	Maharashtra	19.1943294	72.97017790000002
Lucknow	Uttar Pradesh	26.8381	80.9346001
New Delhi	Delhi	28.6141793	77.2022662
Thiruvananthapuram	Kerala	8.5058909	76.9570481
Ahmadnagar	Maharashtra	19.25	74.75
Yavatmal	Maharashtra	20.15	78.35
Idukki	Kerala	9.849787199999998	76.97979140000002
Aurangabad	Maharashtra	19.877263	75.33902409999997
Dehradun	Uttarakhand	30.3255646	78.0436813
Malappuram	Kerala	11.10684475	76.10995510466662
Khordha	Odisha	20.22564715	85.5605946512523
South Delhi	Delhi	28.4851694	77.19637972381611
Kargil	Ladakh	34.42089435	75.66548598121861
Mahe	Puducherry	11.7021978	75.53647009999997
Gautam Buddha Nagar	Uttar Pradesh	28.36760975	77.59740326369902
Kolkata	West Bengal	22.54541245	88.3567751581234
Chennai	Tamil Nadu	13.080172099999999	80.2838331
Ratnagiri	Maharashtra	17.282607900000002	73.45697870398259
Srinagar	Jammu and Kashmir	34.07474439999999	74.82044429999998
Jhunjhunu	Rajasthan	28.1287995	75.39925809999998
North East Delhi	Delhi	28.72330795	77.26685650778668
Chandigarh	Chandigarh	30.7194022	76.7646552
Kodagu	Karnataka	12.3822808	75.66523533586208
Prakasam	Andhra Pradesh	15.5	79.5
Raipur	Chhattisgarh	21.237946899999997	81.6336833
Shahid Bhagat Singh Nagar	Punjab	30.92932110000001	75.5004841
Rajkot	Gujarat	22.3051991	70.80283349999998
Surat	Gujarat	21.186460699999998	72.80812809999998
Visakhapatnam	Andhra Pradesh	17.7231276	83.30128420000001
North West Delhi	Delhi	28.6141793	77.2022662
S.A.S. Nagar	Punjab	30.8823935	75.8703501
Ahmadabad	Gujarat	23.0216238	72.5797068
Vadodara	Gujarat	22.2973142	73.1942567
Bhilwara	Rajasthan	25.48877345	74.69961283584024
Faridabad	Haryana	28.402836999999998	77.30856259999999
Panipat	Haryana	29.391275300000004	76.97716750000002
Kangra	Himachal Pradesh	32.166667	76.25
Jabalpur	Madhya Pradesh	23.1608938	79.9497702
Karimnagar	Telangana	18.4346438	79.13226479999999
North 24 Parganas	West Bengal	22.7182799	88.64248090898516
Chikkaballapura	Karnataka	13.435870199999998	77.7312434
Panchkula	Haryana	30.616216450000003	77.04197804321875
Gandhinagar	Gujarat	23.223287699999997	72.6492267
Moradabad	Uttar Pradesh	28.8638424	78.80577833091104
Erode	Tamil Nadu	11.3692044	77.67662686841794
Hoshiarpur	Punjab	31.60857425	75.84644246890946
Mysuru	Karnataka	12.3051828	76.6553609
Sonipat	Haryana	29.003314399999997	77.0167323
Kachchh	Gujarat	23.583333	70.0
East Godavari	Andhra Pradesh	17.233496	81.7225986
Krishna	Andhra Pradesh	16.6691525	80.71900240000002
Varanasi	Uttar Pradesh	25.3356491	83.0076292
Dharwad	Karnataka	15.454050500000001	75.0066516
