index,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
0,30-01-2020,1,1,0,0,0,0
1,31-01-2020,0,1,0,0,0,0
2,01-02-2020,0,1,0,0,0,0
3,02-02-2020,1,2,0,0,0,0
4,03-02-2020,1,3,0,0,0,0
5,04-02-2020,0,3,0,0,0,0
6,05-02-2020,0,3,0,0,0,0
7,06-02-2020,0,3,0,0,0,0
8,07-02-2020,0,3,0,0,0,0
9,08-02-2020,0,3,0,0,0,0
10,09-02-2020,0,3,0,0,0,0
11,10-02-2020,0,3,0,0,0,0
12,11-02-2020,0,3,0,0,0,0
13,12-02-2020,0,3,0,0,0,0
14,13-02-2020,0,3,1,1,0,0
15,14-02-2020,0,3,0,1,0,0
16,15-02-2020,0,3,0,1,0,0
17,16-02-2020,0,3,1,2,0,0
18,17-02-2020,0,3,0,2,0,0
19,18-02-2020,0,3,0,2,0,0
20,19-02-2020,0,3,0,2,0,0
21,20-02-2020,0,3,1,3,0,0
22,21-02-2020,0,3,0,3,0,0
23,22-02-2020,0,3,0,3,0,0
24,23-02-2020,0,3,0,3,0,0
25,24-02-2020,0,3,0,3,0,0
26,25-02-2020,0,3,0,3,0,0
27,26-02-2020,0,3,0,3,0,0
28,27-02-2020,0,3,0,3,0,0
29,28-02-2020,0,3,0,3,0,0
30,29-02-2020,0,3,0,3,0,0
31,01-03-2020,0,3,0,3,0,0
32,02-03-2020,2,5,0,3,0,0
33,03-03-2020,1,6,0,3,0,0
34,04-03-2020,22,28,0,3,0,0
35,05-03-2020,2,30,0,3,0,0
36,06-03-2020,1,31,0,3,0,0
37,07-03-2020,3,34,0,3,0,0
38,08-03-2020,5,39,0,3,0,0
39,09-03-2020,5,44,0,3,0,0
40,10-03-2020,6,50,0,3,0,0
41,11-03-2020,10,60,0,3,0,0
42,12-03-2020,13,73,0,3,1,1
43,13-03-2020,8,81,7,10,0,1
44,14-03-2020,16,97,0,10,1,2
45,15-03-2020,10,107,3,13,0,2
46,16-03-2020,11,118,0,13,0,2
47,17-03-2020,19,137,1,14,1,3
48,18-03-2020,14,151,0,14,0,3
49,19-03-2020,22,173,6,20,1,4
50,20-03-2020,50,223,3,23,0,4
51,21-03-2020,60,283,0,23,0,4
52,22-03-2020,77,360,1,24,3,7
53,23-03-2020,74,434,11,35,2,9
54,24-03-2020,85,519,5,40,0,9
55,25-03-2020,87,606,3,43,3,12
56,26-03-2020,88,694,2,45,4,16
57,27-03-2020,140,834,22,67,2,18
58,28-03-2020,84,918,13,80,2,20
59,29-03-2020,106,1024,16,96,7,27
60,30-03-2020,227,1251,6,102,5,32
61,31-03-2020,146,1397,22,124,3,35
62,01-04-2020,437,1834,20,144,6,41
63,02-04-2020,235,2069,12,156,12,53
64,03-04-2020,478,2547,7,163,9,62
65,04-04-2020,525,3072,50,213,13,75
66,05-04-2020,505,3577,62,275,8,83
67,06-04-2020,704,4281,44,319,28,111
68,07-04-2020,508,4789,34,353,13,124
69,08-04-2020,485,5274,58,411,25,149
70,09-04-2020,591,5865,67,478,20,169
71,10-04-2020,896,6761,38,516,37,206
72,11-04-2020,768,7529,137,653,36,242
73,12-04-2020,918,8447,112,765,31,273
74,13-04-2020,905,9352,215,980,51,324
75,14-04-2020,1463,10815,210,1190,29,353
76,15-04-2020,1118,11933,154,1344,39,392
77,16-04-2020,826,12759,171,1515,28,420
78,17-04-2020,1076,13835,252,1767,32,452
79,18-04-2020,957,14792,248,2015,36,488
80,19-04-2020,1324,16116,287,2302,31,519
81,20-04-2020,1540,17656,540,2842,40,559
82,21-04-2020,1329,18985,418,3260,44,603
83,22-04-2020,1486,20471,700,3960,49,652
84,23-04-2020,1229,21700,365,4325,34,686
85,24-04-2020,1752,23452,489,4814,37,723
86,25-04-2020,1490,24942,396,5210,56,779
87,26-04-2020,1975,26917,704,5914,47,826
88,27-04-2020,1463,28380,448,6362,60,886
89,28-04-2020,1594,29974,665,7027,51,937
90,29-04-2020,1813,31787,770,7797,71,1008
91,30-04-2020,1823,33610,576,8373,67,1075
92,01-05-2020,1755,35365,692,9065,77,1152
93,02-05-2020,2411,37776,953,10018,71,1223
94,03-05-2020,2487,40263,869,10887,83,1306
95,04-05-2020,2573,42836,875,11762,83,1389
96,05-05-2020,3875,46711,1399,13161,194,1583
97,06-05-2020,2680,49391,1022,14183,111,1694
98,07-05-2020,3561,52952,1084,15267,89,1783
99,08-05-2020,3390,56342,1273,16540,103,1886
100,09-05-2020,3320,59662,1307,17847,95,1981
101,10-05-2020,3277,62939,1511,19358,128,2109
102,11-05-2020,4213,67152,1559,20917,97,2206
103,12-05-2020,3604,70756,1538,22455,87,2293
104,13-05-2020,3525,74281,1931,24386,122,2415
105,14-05-2020,3722,78003,1849,26235,134,2549
