State	Confirmed	Recovered	Deaths	Active
Total	2586	192	73	2321
Maharashtra	423	42	21	360
Kerala	286	28	2	256
Tamil Nadu	309	6	1	302
Delhi	293	8	4	281
Rajasthan	154	3	0	151
Uttar Pradesh	128	17	2	109
Andhra Pradesh	161	2	0	159
Karnataka	124	11	3	110
Telangana	154	17	9	128
Gujarat	95	10	8	77
Madhya Pradesh	107	0	8	99
Jammu and Kashmir	70	3	2	65
Punjab	47	1	5	41
Haryana	49	27	0	22
West Bengal	53	3	6	44
Bihar	29	3	1	25
Chandigarh	18	0	0	18
Ladakh	13	3	0	10
Assam	16	0	0	16
Andaman and Nicobar Islands	10	0	0	10
Chhattisgarh	9	3	0	6
Uttarakhand	10	2	0	8
Goa	6	0	0	6
Odisha	5	2	0	3
Himachal Pradesh	6	1	1	4
Puducherry	5	0	0	5
Jharkhand	2	0	0	2
Manipur	2	0	0	2
Mizoram	1	0	0	1
Arunachal Pradesh	1	0	0	1
Dadra and Nagar Haveli	0	0	0	0
Daman and Diu	0	0	0	0
Lakshadweep	0	0	0	0
Meghalaya	0	0	0	0
Nagaland	0	0	0	0
Sikkim	0	0	0	0
Tripura	0	0	0	0
